windspeed,date
1.038083846,2021-01-01 00:00:00
0.822416927,2021-01-01 01:00:00
0.870358643,2021-01-01 02:00:00
1.007408089,2021-01-01 03:00:00
1.18693887,2021-01-01 04:00:00
1.344121795,2021-01-01 05:00:00
1.310181193,2021-01-01 06:00:00
1.440181219,2021-01-01 07:00:00
1.144866237,2021-01-01 08:00:00
0.843533771,2021-01-01 09:00:00
0.353258541,2021-01-01 10:00:00
0.577735826,2021-01-01 11:00:00
0.702940926,2021-01-01 12:00:00
0.956684293,2021-01-01 13:00:00
1.277264731,2021-01-01 14:00:00
1.591259067,2021-01-01 15:00:00
1.280386002,2021-01-01 16:00:00
1.825739031,2021-01-01 17:00:00
2.069689727,2021-01-01 18:00:00
1.22314949,2021-01-01 19:00:00
0.133088035,2021-01-01 20:00:00
0.591471712,2021-01-01 21:00:00
0.857926511,2021-01-01 22:00:00
0.755525945,2021-01-01 23:00:00
0.805593275,2021-01-02 00:00:00
0.814127266,2021-01-02 01:00:00
0.791075454,2021-01-02 02:00:00
0.780144864,2021-01-02 03:00:00
0.630184192,2021-01-02 04:00:00
0.68627378,2021-01-02 05:00:00
0.635867171,2021-01-02 06:00:00
0.747571809,2021-01-02 07:00:00
0.437430843,2021-01-02 08:00:00
0.39872014,2021-01-02 09:00:00
0.639706208,2021-01-02 10:00:00
1.527013228,2021-01-02 11:00:00
2.065263847,2021-01-02 12:00:00
2.740655524,2021-01-02 13:00:00
3.215086412,2021-01-02 14:00:00
3.654288037,2021-01-02 15:00:00
3.671860121,2021-01-02 16:00:00
2.094730374,2021-01-02 17:00:00
1.858971109,2021-01-02 18:00:00
1.745344422,2021-01-02 19:00:00
0.748836369,2021-01-02 20:00:00
1.166843641,2021-01-02 21:00:00
1.10246239,2021-01-02 22:00:00
0.095452374,2021-01-02 23:00:00
0.123251735,2021-01-03 00:00:00
0.497458394,2021-01-03 01:00:00
1.049145693,2021-01-03 02:00:00
1.247219944,2021-01-03 03:00:00
1.225610261,2021-01-03 04:00:00
1.207448097,2021-01-03 05:00:00
1.468889847,2021-01-03 06:00:00
1.58347812,2021-01-03 07:00:00
1.764737566,2021-01-03 08:00:00
1.65137038,2021-01-03 09:00:00
1.327073856,2021-01-03 10:00:00
1.061154348,2021-01-03 11:00:00
0.645533664,2021-01-03 12:00:00
0.314307433,2021-01-03 13:00:00
1.411301504,2021-01-03 14:00:00
2.431327039,2021-01-03 15:00:00
2.198700718,2021-01-03 16:00:00
2.686866201,2021-01-03 17:00:00
2.881803465,2021-01-03 18:00:00
2.293363861,2021-01-03 19:00:00
2.295366972,2021-01-03 20:00:00
1.902121428,2021-01-03 21:00:00
1.873570262,2021-01-03 22:00:00
1.797063464,2021-01-03 23:00:00
1.789888622,2021-01-04 00:00:00
1.220269407,2021-01-04 01:00:00
0.740256934,2021-01-04 02:00:00
0.270252624,2021-01-04 03:00:00
0.420543162,2021-01-04 04:00:00
1.423011174,2021-01-04 05:00:00
0.347182928,2021-01-04 06:00:00
1.329174438,2021-01-04 07:00:00
1.322487732,2021-01-04 08:00:00
0.863183371,2021-01-04 09:00:00
0.406037504,2021-01-04 10:00:00
1.352179274,2021-01-04 11:00:00
2.053494166,2021-01-04 12:00:00
2.453746391,2021-01-04 13:00:00
3.497781376,2021-01-04 14:00:00
4.212044803,2021-01-04 15:00:00
4.4721856,2021-01-04 16:00:00
3.417870992,2021-01-04 17:00:00
2.936710385,2021-01-04 18:00:00
1.833086763,2021-01-04 19:00:00
1.872063225,2021-01-04 20:00:00
1.724648391,2021-01-04 21:00:00
1.3979174,2021-01-04 22:00:00
1.158032061,2021-01-04 23:00:00
1.201190339,2021-01-05 00:00:00
1.179644225,2021-01-05 01:00:00
1.105763871,2021-01-05 02:00:00
0.992451935,2021-01-05 03:00:00
0.527667783,2021-01-05 04:00:00
0.472045907,2021-01-05 05:00:00
0.643849357,2021-01-05 06:00:00
0.505083077,2021-01-05 07:00:00
0.094546768,2021-01-05 08:00:00
0.349605297,2021-01-05 09:00:00
1.012594816,2021-01-05 10:00:00
1.165575601,2021-01-05 11:00:00
1.318793798,2021-01-05 12:00:00
1.508987644,2021-01-05 13:00:00
2.119102286,2021-01-05 14:00:00
2.765140451,2021-01-05 15:00:00
3.173977502,2021-01-05 16:00:00
1.666805093,2021-01-05 17:00:00
1.672571586,2021-01-05 18:00:00
1.664604933,2021-01-05 19:00:00
1.727740762,2021-01-05 20:00:00
1.443874531,2021-01-05 21:00:00
1.347847531,2021-01-05 22:00:00
1.200835788,2021-01-05 23:00:00
0.941629346,2021-01-06 00:00:00
0.751681812,2021-01-06 01:00:00
0.925588808,2021-01-06 02:00:00
0.942341246,2021-01-06 03:00:00
1.088448021,2021-01-06 04:00:00
0.628143865,2021-01-06 05:00:00
1.075081128,2021-01-06 06:00:00
1.290396853,2021-01-06 07:00:00
1.58401944,2021-01-06 08:00:00
1.883082357,2021-01-06 09:00:00
2.010563048,2021-01-06 10:00:00
2.498495062,2021-01-06 11:00:00
2.940642277,2021-01-06 12:00:00
3.314731946,2021-01-06 13:00:00
3.561035969,2021-01-06 14:00:00
4.124164733,2021-01-06 15:00:00
4.470809734,2021-01-06 16:00:00
3.983850126,2021-01-06 17:00:00
3.78819892,2021-01-06 18:00:00
2.670066168,2021-01-06 19:00:00
2.02595111,2021-01-06 20:00:00
1.616570386,2021-01-06 21:00:00
1.314582505,2021-01-06 22:00:00
1.146937375,2021-01-06 23:00:00
0.987560074,2021-01-07 00:00:00
0.977503335,2021-01-07 01:00:00
1.053501673,2021-01-07 02:00:00
0.365931441,2021-01-07 03:00:00
0.293114366,2021-01-07 04:00:00
0.317922909,2021-01-07 05:00:00
0.493508373,2021-01-07 06:00:00
0.241303425,2021-01-07 07:00:00
0.446048064,2021-01-07 08:00:00
0.460529675,2021-01-07 09:00:00
0.49346398,2021-01-07 10:00:00
1.190175619,2021-01-07 11:00:00
1.304229847,2021-01-07 12:00:00
1.151695247,2021-01-07 13:00:00
1.46788482,2021-01-07 14:00:00
1.319094426,2021-01-07 15:00:00
1.516013626,2021-01-07 16:00:00
1.033419393,2021-01-07 17:00:00
1.916795726,2021-01-07 18:00:00
1.805368207,2021-01-07 19:00:00
1.1582955,2021-01-07 20:00:00
0.762653745,2021-01-07 21:00:00
0.480342023,2021-01-07 22:00:00
0.672493464,2021-01-07 23:00:00
0.708738259,2021-01-08 00:00:00
0.739809169,2021-01-08 01:00:00
0.775079396,2021-01-08 02:00:00
0.792338004,2021-01-08 03:00:00
0.948526536,2021-01-08 04:00:00
1.302142199,2021-01-08 05:00:00
0.868406572,2021-01-08 06:00:00
0.974870483,2021-01-08 07:00:00
1.456209151,2021-01-08 08:00:00
0.946410339,2021-01-08 09:00:00
0.632656022,2021-01-08 10:00:00
0.356080422,2021-01-08 11:00:00
0.230231992,2021-01-08 12:00:00
0.599735297,2021-01-08 13:00:00
1.260491901,2021-01-08 14:00:00
1.625426839,2021-01-08 15:00:00
1.881494745,2021-01-08 16:00:00
1.812252315,2021-01-08 17:00:00
2.247482493,2021-01-08 18:00:00
1.874363855,2021-01-08 19:00:00
1.52112123,2021-01-08 20:00:00
1.134400515,2021-01-08 21:00:00
0.715066214,2021-01-08 22:00:00
0.950096288,2021-01-08 23:00:00
0.806360804,2021-01-09 00:00:00
0.763510374,2021-01-09 01:00:00
0.564080614,2021-01-09 02:00:00
0.713622583,2021-01-09 03:00:00
0.910552964,2021-01-09 04:00:00
0.907487673,2021-01-09 05:00:00
0.834706009,2021-01-09 06:00:00
0.930302081,2021-01-09 07:00:00
0.641409949,2021-01-09 08:00:00
0.3231102,2021-01-09 09:00:00
1.150060051,2021-01-09 10:00:00
0.474013385,2021-01-09 11:00:00
0.638712676,2021-01-09 12:00:00
1.449750707,2021-01-09 13:00:00
1.383521724,2021-01-09 14:00:00
1.376963317,2021-01-09 15:00:00
1.588908872,2021-01-09 16:00:00
1.085131046,2021-01-09 17:00:00
1.946200456,2021-01-09 18:00:00
2.285165293,2021-01-09 19:00:00
2.011746689,2021-01-09 20:00:00
2.451521363,2021-01-09 21:00:00
2.349107195,2021-01-09 22:00:00
2.415185056,2021-01-09 23:00:00
2.304626633,2021-01-10 00:00:00
2.112078751,2021-01-10 01:00:00
1.729718564,2021-01-10 02:00:00
1.282521121,2021-01-10 03:00:00
1.148093078,2021-01-10 04:00:00
1.205789776,2021-01-10 05:00:00
1.065995595,2021-01-10 06:00:00
1.104535087,2021-01-10 07:00:00
0.885733205,2021-01-10 08:00:00
0.816537095,2021-01-10 09:00:00
1.442894343,2021-01-10 10:00:00
2.193682675,2021-01-10 11:00:00
3.272945087,2021-01-10 12:00:00
3.728760116,2021-01-10 13:00:00
3.918522269,2021-01-10 14:00:00
4.448501391,2021-01-10 15:00:00
4.938202794,2021-01-10 16:00:00
3.685893096,2021-01-10 17:00:00
3.55933848,2021-01-10 18:00:00
2.392120003,2021-01-10 19:00:00
1.243021236,2021-01-10 20:00:00
1.501814342,2021-01-10 21:00:00
2.03306384,2021-01-10 22:00:00
1.987458209,2021-01-10 23:00:00
1.685856539,2021-01-11 00:00:00
1.386188034,2021-01-11 01:00:00
1.504987176,2021-01-11 02:00:00
1.71914814,2021-01-11 03:00:00
1.876642925,2021-01-11 04:00:00
1.798063009,2021-01-11 05:00:00
1.683030632,2021-01-11 06:00:00
1.617800979,2021-01-11 07:00:00
1.659069298,2021-01-11 08:00:00
1.457365011,2021-01-11 09:00:00
1.274472475,2021-01-11 10:00:00
1.49797976,2021-01-11 11:00:00
2.011547491,2021-01-11 12:00:00
2.864854736,2021-01-11 13:00:00
3.580669728,2021-01-11 14:00:00
3.385911464,2021-01-11 15:00:00
1.868894502,2021-01-11 16:00:00
2.304296701,2021-01-11 17:00:00
3.227986526,2021-01-11 18:00:00
2.942445239,2021-01-11 19:00:00
2.767116933,2021-01-11 20:00:00
2.406982503,2021-01-11 21:00:00
2.038500058,2021-01-11 22:00:00
1.837943713,2021-01-11 23:00:00
1.889242212,2021-01-12 00:00:00
2.070832093,2021-01-12 01:00:00
2.177387875,2021-01-12 02:00:00
2.212343701,2021-01-12 03:00:00
2.190514649,2021-01-12 04:00:00
2.271500956,2021-01-12 05:00:00
2.453015122,2021-01-12 06:00:00
2.381679736,2021-01-12 07:00:00
2.133699814,2021-01-12 08:00:00
2.049182692,2021-01-12 09:00:00
1.714453861,2021-01-12 10:00:00
1.823406827,2021-01-12 11:00:00
2.050634606,2021-01-12 12:00:00
2.18665858,2021-01-12 13:00:00
2.089272265,2021-01-12 14:00:00
2.035549574,2021-01-12 15:00:00
1.676272029,2021-01-12 16:00:00
0.662069021,2021-01-12 17:00:00
1.330857372,2021-01-12 18:00:00
1.84183941,2021-01-12 19:00:00
2.262463713,2021-01-12 20:00:00
2.456300558,2021-01-12 21:00:00
2.448631261,2021-01-12 22:00:00
2.056076014,2021-01-12 23:00:00
1.752711162,2021-01-13 00:00:00
1.705740727,2021-01-13 01:00:00
1.644173361,2021-01-13 02:00:00
1.763814402,2021-01-13 03:00:00
1.76592825,2021-01-13 04:00:00
1.839776308,2021-01-13 05:00:00
2.020173079,2021-01-13 06:00:00
2.015320256,2021-01-13 07:00:00
1.676389088,2021-01-13 08:00:00
1.176099999,2021-01-13 09:00:00
0.655729076,2021-01-13 10:00:00
0.877171904,2021-01-13 11:00:00
1.21912254,2021-01-13 12:00:00
1.324724702,2021-01-13 13:00:00
1.251624041,2021-01-13 14:00:00
1.442039578,2021-01-13 15:00:00
1.683776138,2021-01-13 16:00:00
1.965826418,2021-01-13 17:00:00
3.116138462,2021-01-13 18:00:00
2.99183468,2021-01-13 19:00:00
2.626766972,2021-01-13 20:00:00
2.384003406,2021-01-13 21:00:00
2.314279637,2021-01-13 22:00:00
2.342191739,2021-01-13 23:00:00
2.345446952,2021-01-14 00:00:00
2.373244079,2021-01-14 01:00:00
2.400808629,2021-01-14 02:00:00
2.347256008,2021-01-14 03:00:00
2.429035331,2021-01-14 04:00:00
2.307952839,2021-01-14 05:00:00
2.063602066,2021-01-14 06:00:00
1.038138664,2021-01-14 07:00:00
1.841687031,2021-01-14 08:00:00
3.103565398,2021-01-14 09:00:00
3.094878373,2021-01-14 10:00:00
3.478950609,2021-01-14 11:00:00
3.709645273,2021-01-14 12:00:00
3.826409034,2021-01-14 13:00:00
3.973703425,2021-01-14 14:00:00
4.785448911,2021-01-14 15:00:00
4.694775145,2021-01-14 16:00:00
2.40696832,2021-01-14 17:00:00
2.392504776,2021-01-14 18:00:00
2.748958944,2021-01-14 19:00:00
2.185195507,2021-01-14 20:00:00
2.242362226,2021-01-14 21:00:00
2.323491794,2021-01-14 22:00:00
1.373210201,2021-01-14 23:00:00
1.267952286,2021-01-15 00:00:00
1.290375252,2021-01-15 01:00:00
1.443645248,2021-01-15 02:00:00
1.442533382,2021-01-15 03:00:00
0.82663193,2021-01-15 04:00:00
1.621963681,2021-01-15 05:00:00
1.792797503,2021-01-15 06:00:00
1.743730988,2021-01-15 07:00:00
0.45675375,2021-01-15 08:00:00
1.070147864,2021-01-15 09:00:00
2.237245304,2021-01-15 10:00:00
3.541749929,2021-01-15 11:00:00
4.696393891,2021-01-15 12:00:00
5.21326298,2021-01-15 13:00:00
5.55864475,2021-01-15 14:00:00
5.851527488,2021-01-15 15:00:00
5.257562189,2021-01-15 16:00:00
3.005405369,2021-01-15 17:00:00
1.927668892,2021-01-15 18:00:00
1.743545816,2021-01-15 19:00:00
1.805418676,2021-01-15 20:00:00
1.541950375,2021-01-15 21:00:00
1.139105089,2021-01-15 22:00:00
1.432647359,2021-01-15 23:00:00
1.294103894,2021-01-16 00:00:00
1.542150513,2021-01-16 01:00:00
1.708773701,2021-01-16 02:00:00
1.698492597,2021-01-16 03:00:00
1.460584388,2021-01-16 04:00:00
1.062245446,2021-01-16 05:00:00
1.025294252,2021-01-16 06:00:00
1.341481617,2021-01-16 07:00:00
1.4349105,2021-01-16 08:00:00
1.472832508,2021-01-16 09:00:00
2.928755902,2021-01-16 10:00:00
3.467744437,2021-01-16 11:00:00
4.000862051,2021-01-16 12:00:00
4.399635834,2021-01-16 13:00:00
4.546809066,2021-01-16 14:00:00
4.197913897,2021-01-16 15:00:00
3.581920078,2021-01-16 16:00:00
2.327009329,2021-01-16 17:00:00
1.55222733,2021-01-16 18:00:00
1.339414774,2021-01-16 19:00:00
1.297472781,2021-01-16 20:00:00
1.271830035,2021-01-16 21:00:00
1.524122211,2021-01-16 22:00:00
1.444682067,2021-01-16 23:00:00
1.273370828,2021-01-17 00:00:00
1.333955039,2021-01-17 01:00:00
1.420451574,2021-01-17 02:00:00
1.462920061,2021-01-17 03:00:00
1.390069752,2021-01-17 04:00:00
1.222345178,2021-01-17 05:00:00
1.214568309,2021-01-17 06:00:00
1.38026285,2021-01-17 07:00:00
1.993107665,2021-01-17 08:00:00
1.70922792,2021-01-17 09:00:00
1.689067182,2021-01-17 10:00:00
1.888644696,2021-01-17 11:00:00
2.362326219,2021-01-17 12:00:00
3.324282717,2021-01-17 13:00:00
3.720155584,2021-01-17 14:00:00
3.530771678,2021-01-17 15:00:00
1.992735483,2021-01-17 16:00:00
2.721127536,2021-01-17 17:00:00
3.009885522,2021-01-17 18:00:00
2.460193455,2021-01-17 19:00:00
2.040784664,2021-01-17 20:00:00
1.923087519,2021-01-17 21:00:00
1.995258107,2021-01-17 22:00:00
2.059248953,2021-01-17 23:00:00
2.148157879,2021-01-18 00:00:00
2.150984326,2021-01-18 01:00:00
2.104985236,2021-01-18 02:00:00
2.046282899,2021-01-18 03:00:00
1.901455699,2021-01-18 04:00:00
2.057376592,2021-01-18 05:00:00
1.915898165,2021-01-18 06:00:00
1.925191564,2021-01-18 07:00:00
1.736249567,2021-01-18 08:00:00
1.519419027,2021-01-18 09:00:00
1.127737176,2021-01-18 10:00:00
0.999832156,2021-01-18 11:00:00
0.884489769,2021-01-18 12:00:00
0.725101993,2021-01-18 13:00:00
0.539839362,2021-01-18 14:00:00
0.389654818,2021-01-18 15:00:00
1.110032682,2021-01-18 16:00:00
1.140818662,2021-01-18 17:00:00
1.319004382,2021-01-18 18:00:00
1.175691345,2021-01-18 19:00:00
1.452114827,2021-01-18 20:00:00
1.735351296,2021-01-18 21:00:00
2.045225348,2021-01-18 22:00:00
1.710989148,2021-01-18 23:00:00
1.306636354,2021-01-19 00:00:00
1.051542723,2021-01-19 01:00:00
1.098848849,2021-01-19 02:00:00
1.143274695,2021-01-19 03:00:00
1.058191693,2021-01-19 04:00:00
0.71797321,2021-01-19 05:00:00
0.701228336,2021-01-19 06:00:00
0.934644415,2021-01-19 07:00:00
0.609541162,2021-01-19 08:00:00
0.462828633,2021-01-19 09:00:00
0.856769174,2021-01-19 10:00:00
1.474192778,2021-01-19 11:00:00
1.787249599,2021-01-19 12:00:00
1.897411328,2021-01-19 13:00:00
1.889753763,2021-01-19 14:00:00
2.160528087,2021-01-19 15:00:00
2.157361079,2021-01-19 16:00:00
1.962658154,2021-01-19 17:00:00
1.495879871,2021-01-19 18:00:00
1.516238099,2021-01-19 19:00:00
1.171709936,2021-01-19 20:00:00
0.504704222,2021-01-19 21:00:00
0.600387801,2021-01-19 22:00:00
0.535113907,2021-01-19 23:00:00
0.602408716,2021-01-20 00:00:00
1.068925058,2021-01-20 01:00:00
1.273037705,2021-01-20 02:00:00
1.258085903,2021-01-20 03:00:00
1.383789547,2021-01-20 04:00:00
1.175126892,2021-01-20 05:00:00
0.920453295,2021-01-20 06:00:00
1.123419233,2021-01-20 07:00:00
1.087351204,2021-01-20 08:00:00
0.953905303,2021-01-20 09:00:00
0.763748595,2021-01-20 10:00:00
0.744284095,2021-01-20 11:00:00
0.87351219,2021-01-20 12:00:00
1.183713444,2021-01-20 13:00:00
1.085124354,2021-01-20 14:00:00
0.827303556,2021-01-20 15:00:00
0.740443374,2021-01-20 16:00:00
0.814216697,2021-01-20 17:00:00
1.035704323,2021-01-20 18:00:00
1.124701731,2021-01-20 19:00:00
1.088778584,2021-01-20 20:00:00
1.139165562,2021-01-20 21:00:00
1.296016654,2021-01-20 22:00:00
1.46614126,2021-01-20 23:00:00
1.433674289,2021-01-21 00:00:00
1.131781676,2021-01-21 01:00:00
1.080180236,2021-01-21 02:00:00
0.974010533,2021-01-21 03:00:00
0.872210099,2021-01-21 04:00:00
1.527089261,2021-01-21 05:00:00
1.267057658,2021-01-21 06:00:00
1.31459684,2021-01-21 07:00:00
1.129498283,2021-01-21 08:00:00
0.836679866,2021-01-21 09:00:00
0.461401458,2021-01-21 10:00:00
1.103169398,2021-01-21 11:00:00
1.368438408,2021-01-21 12:00:00
1.40835601,2021-01-21 13:00:00
1.633300133,2021-01-21 14:00:00
2.127505653,2021-01-21 15:00:00
1.961932821,2021-01-21 16:00:00
1.84148622,2021-01-21 17:00:00
2.092171868,2021-01-21 18:00:00
2.107589422,2021-01-21 19:00:00
1.651541153,2021-01-21 20:00:00
1.233035849,2021-01-21 21:00:00
1.470706226,2021-01-21 22:00:00
1.56118297,2021-01-21 23:00:00
1.479537082,2021-01-22 00:00:00
1.277798508,2021-01-22 01:00:00
1.413449265,2021-01-22 02:00:00
1.615573809,2021-01-22 03:00:00
1.661146871,2021-01-22 04:00:00
1.436744872,2021-01-22 05:00:00
1.34631167,2021-01-22 06:00:00
1.521320393,2021-01-22 07:00:00
1.349585446,2021-01-22 08:00:00
1.397274915,2021-01-22 09:00:00
1.174493266,2021-01-22 10:00:00
1.157327735,2021-01-22 11:00:00
1.328481174,2021-01-22 12:00:00
1.427358433,2021-01-22 13:00:00
1.848910557,2021-01-22 14:00:00
1.949583638,2021-01-22 15:00:00
1.319692413,2021-01-22 16:00:00
1.157335535,2021-01-22 17:00:00
2.308860124,2021-01-22 18:00:00
2.883333773,2021-01-22 19:00:00
2.943187563,2021-01-22 20:00:00
2.676145606,2021-01-22 21:00:00
2.601529855,2021-01-22 22:00:00
2.499001487,2021-01-22 23:00:00
2.327256457,2021-01-23 00:00:00
2.1509603,2021-01-23 01:00:00
1.796967644,2021-01-23 02:00:00
1.625521704,2021-01-23 03:00:00
1.372332452,2021-01-23 04:00:00
1.253204347,2021-01-23 05:00:00
1.024489718,2021-01-23 06:00:00
1.120401488,2021-01-23 07:00:00
1.300133024,2021-01-23 08:00:00
1.19560146,2021-01-23 09:00:00
0.573017415,2021-01-23 10:00:00
0.704307346,2021-01-23 11:00:00
